Well,X,Y,Z,L*,a*,b*,DeltaE_vs_A10
A10,1532.7305,1666.1453,1501.2641,1359.1887,-64.1586,145.1504,0.0000
A11,2662.4047,2894.7610,2595.9687,1637.2133,-77.6252,178.7181,12.8882
A12,2652.3601,2882.7567,2589.6126,1634.9249,-76.6362,176.9548,12.7395
B1,7737.3345,8542.6640,10049.0728,2355.3142,-162.9154,-106.4280,72.9211
B2,7731.9218,8536.7518,10043.3234,2354.7670,-162.9029,-106.5713,72.9416
B3,7744.5616,8550.7119,10056.4691,2356.0586,-162.9934,-106.1735,72.8769
B10,635.7336,692.4277,630.3447,1010.2412,-50.7397,102.6240,20.4182
B11,663.1191,722.4020,660.2758,1024.8408,-51.7615,101.8213,19.6122
B12,358.4464,393.7539,368.3788,834.2232,-52.3142,72.3883,34.1656
C1,7759.2858,8568.5550,10086.1430,2357.7074,-163.7281,-107.4536,73.0695
C2,7768.4102,8578.3191,10096.5117,2358.6087,-163.6681,-107.3384,73.0650
C3,7684.8760,8485.6429,9967.7409,2350.0263,-162.9059,-104.1972,72.4423
C10,2873.6885,3129.3127,2841.6049,1680.7101,-83.3898,171.9731,14.5221
C11,2735.0245,2974.7321,2694.3054,1652.2992,-79.1413,171.4110,13.3056
C12,2815.4147,3065.2478,2791.2584,1669.0515,-82.3427,168.2303,14.0098
D1,7768.3306,8578.1638,10097.5844,2358.5944,-163.6408,-107.5119,73.0990
D2,7782.8837,8593.5877,10119.2073,2360.0167,-163.4861,-108.0566,73.2302
D3,7624.8278,8420.5434,9905.0589,2343.9603,-162.9661,-105.8681,72.6692
D10,1447.2755,1576.3362,1431.0229,1334.0223,-66.7411,137.0307,2.2758
D11,1452.8312,1581.1506,1434.9459,1335.3953,-65.3081,137.3980,1.9294
D12,1650.7371,1807.6161,1669.2952,1397.0582,-80.6181,130.3174,6.5291
E1,3094.0191,3377.7846,3126.2981,1724.4784,-91.7982,158.3946,16.6785
E2,3083.4283,3365.6861,3095.5348,1722.3979,-91.2954,164.1616,16.4745
E3,3054.4333,3335.4211,3064.7246,1717.1715,-92.0419,164.5812,16.3331
E10,2463.5829,2680.0543,2396.7553,1595.2856,-76.9100,176.5960,11.2068
E11,2476.6546,2693.8003,2413.6882,1598.0356,-76.6375,175.2254,11.2648
E12,2563.4849,2790.3815,2506.9195,1617.0990,-79.3210,174.9428,12.0362
F1,1670.5182,1818.7293,1611.9494,1399.9481,-69.1630,162.0144,2.8922
F2,1694.1636,1844.3272,1636.8577,1406.5602,-69.3268,161.7344,3.0814
F3,1644.0723,1789.4980,1581.9845,1392.3212,-68.2996,163.0763,2.8164
F10,1131.2170,1232.6033,1129.3358,1227.7481,-62.2183,120.0349,7.8928
F11,1171.8319,1276.5871,1175.7131,1242.3694,-62.5701,117.9042,7.5258
F12,1396.2132,1525.2285,1408.2177,1319.2716,-71.6228,123.2976,5.7387
G1,1118.4084,1195.9397,913.8312,1215.2921,-28.6036,236.5120,20.0951
G2,716.4350,764.6396,601.2512,1044.7432,-21.7475,188.1580,24.3139
G3,930.7241,997.7621,773.6961,1143.1340,-31.1102,213.9250,19.9634
G10,3572.4839,3905.5457,3705.7236,1810.7757,-99.9456,141.4318,20.8800
G11,3556.0943,3885.6908,3676.0567,1807.6748,-98.4863,144.1345,20.5245
G12,3490.7325,3813.1325,3598.5878,1796.2521,-97.1019,145.6649,19.9646
H1,2042.5542,2232.2129,2091.4684,1500.0139,-82.2034,127.8419,9.5592
H2,2045.1171,2235.2309,2099.1222,1500.6969,-82.4494,125.9906,9.8362
H3,2030.1556,2218.7640,2075.0158,1496.9632,-82.1356,129.1178,9.3127
H10,1513.8794,1647.9906,1503.9761,1354.1756,-66.6878,135.1677,2.2309
H11,1775.2583,1936.2586,1797.9714,1429.8141,-74.3328,129.0016,6.0255
H12,2090.5996,2284.3928,2162.5642,1511.7358,-82.5290,120.1965,10.8852
